Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees paid) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees paid) (USD)
ac2555e5-9032-5769-8afd-e7316504cc39,Interest,2021-02-09T12:33:58Z,ALGO,0.000198,0.0002016729,Coinbase,,,
78ebc171-eef4-52c4-982f-3322d8c49ea0,Send,2021-02-15T10:44:38Z,,,,,BCH,0.00001201,0
88b962b4-decd-583b-9da6-a4556374b9f3,Buy,2021-03-12T15:26:37Z,BTC,0.00295036,170,Coinbase,,,
17a5ca2e-d51a-5c88-9c36-d0e8a6fdd344,Buy,2021-03-13T01:21:09Z,MANA,7.56226392,6,Coinbase,,,
5e8fb8ff-d177-558b-899e-0b982d38da85,Buy,2021-03-13T21:39:59Z,BTC,0.00252567,160,Coinbase,,,
7eec5b0f-4def-52e8-a5d4-15b6a3aefb24,Send,2021-03-14T01:28:40Z,,,,,BTC,0.00255739,161.827709160915956018932794
b79ee7f8-409e-5e2b-8c2c-d9fd909b5e6d,Buy,2021-03-16T10:39:51Z,BTC,0.01199899,700,Coinbase,,,
6dccce8a-e608-5fe5-af32-ebb55200ca67,Converted from,2021-03-16T10:55:06Z,,,,,BTC,0.000591,33.0233188200000100000155
c2a381eb-3811-588d-8609-8165d82d7c29,Converted to,2021-03-16T10:55:07Z,ATOM,1.600585,33.0233188200000100000155,Coinbase,,,
5e8a9c21-0d1f-5e03-bdf9-ef3624681c2d,Converted from,2021-03-16T10:57:42Z,,,,,BTC,0.001786,99.99628256
00d00f59-8f4d-5c22-a538-2d42d8a5f87f,Converted to,2021-03-16T10:57:42Z,LTC,0.48329572,99.99628256,Coinbase,,,
a09e8403-73fe-5bd9-ab17-5a78d2a4b5e4,Receive,2021-03-17T00:28:42Z,BTC,0.00257153,0,Not available,,,
7fc8e04b-efb4-59a2-a035-6b9016add5f4,Converted from,2021-03-17T23:59:30Z,,,,,BTC,0.001361,79.984547755
7952b74e-2c1c-5ee7-b1e1-122994d712a6,Converted to,2021-03-17T23:59:31Z,MANA,73.81672901,79.984547755,Coinbase,,,
aaa158e3-d9b3-54a9-858f-88f7f0af3eaa,Converted from,2021-03-18T16:18:54Z,,,,,MANA,81.37899293,82.015417344209073137899293
f0a0c580-186e-55c1-9491-f5f2fb627613,Converted to,2021-03-18T16:18:55Z,BTC,0.00133722,82.015417344209073137899293,Coinbase,,,
2475db99-5345-52ec-8e14-cbb34190a89f,Transfer,2021-03-18T18:20:08Z,BTC,0.014,732.119354096824172649485979,Not available,,,
ca4413ba-366e-522b-a7ec-3a4070c25b09,Sell,2021-03-18T21:37:46Z,,,,,LTC,0.30057575,57.0099999999999999892581
6d4eea0c-b548-5c5e-ad56-50a1db69d092,Sell,2021-03-19T01:06:33Z,,,,,ATOM,1.600585,33.4500000000000000072095
704cd389-3da5-5154-ba87-284c4a8e9910,Sell,2021-03-19T01:06:59Z,,,,,LTC,0.18271997,34.109999999999999994076296
55fa8cc9-1d2b-51ec-8e84-a8095be2a89c,Sell,2021-03-19T19:41:37Z,,,,,BTC,0.00107443,60.009999999999999999980245
cda1685d-dfea-51e1-b943-80fd937ae1a0,Converted from,2021-03-21T15:01:06Z,,,,,BTC,0.00001395,0.797851836
c5572f94-d044-5308-b6ed-176d332fa2d6,Converted to,2021-03-21T15:01:06Z,ADA,0.645725,0.797851836,Coinbase,,,
0502e9f9-43b7-5221-a667-437acb29f6a1,Transfer,2021-03-21T16:18:06Z,BTC,0.0054,319.030866144483096201553332,Coinbase,,,
0a8334c5-78a6-526b-be13-e22fbfaba8ae,Sell,2021-03-21T16:38:08Z,,,,,BTC,0.0054,303.15999999999999999978
139a5e69-74ba-5bc1-8ac1-f6fcc36038a9,Transfer,2021-03-23T16:46:28Z,BTC,0.0086,413.088487952341076447932647,Not available,,,
84778eae-87c1-5618-b4e2-d0ac97a514fe,Converted from,2021-03-23T18:21:08Z,,,,,BTC,0.001043,58.024431535
83e210c0-b5ad-54ac-930a-e43c5a3c2b56,Converted to,2021-03-23T18:21:08Z,ADA,49.542104,58.024431535,Coinbase,,,
cab617ec-7ab9-599b-abab-7d6bc2a349d8,Sell,2021-03-23T21:18:02Z,,,,,BTC,0.007557,403.2499999999999999997823
14c58c45-ab2c-5656-a88e-337149b322e4,Converted from,2021-03-24T12:56:02Z,,,,,ADA,50.187829,58.35087938685
43b1b4b4-33ab-5681-a82c-26dceb4c49af,Converted to,2021-03-24T12:56:03Z,BTC,0.00100375,58.35087938685,Coinbase,,,
a5ad629a-5e62-5d5e-9ddd-fb00eb56a75c,Sell,2021-03-24T13:52:27Z,,,,,BTC,0.00100375,53.600000000000000000025
6b7da8ef-70e1-5117-bcd2-53d8efa5e46d,Buy,2021-04-09T17:41:18Z,BTC,0.0017897,109,Coinbase,,,
07af161a-7984-54b9-b77a-fdc0bdfaccc8,Send,2021-04-09T20:31:40Z,,,,,BTC,0.000885,53.900094987986813432445
f75fe5e8-9028-51bc-9f32-09bd0df2421c,Sell,2021-04-10T21:22:00Z,,,,,BTC,0.0009047,50.09000000000000000001284
0d7603a2-0282-59ed-b162-5326da31b150,Buy,2021-05-05T00:41:22Z,ETH,0.00150211,6,Coinbase,,,
ca6a6a02-3b9a-5df9-a3f6-57865578b38c,Convert,2021-05-05T00:42:03Z,,,,,ETH,0.00150211,5.999999999999999999937714
32613f78-904b-51f4-8f72-c05c41ae5752,Convert,2021-05-05T00:42:04Z,ETH2,0.00150211,5.999999999999999999937714,Coinbase,,,
c084b097-cf22-5834-84fe-ed6c29a55204,Reward,2021-05-07T00:12:26Z,FORTH,0.02852091,1.00231034013,Coinbase,,,
b76f70ab-f016-5177-9a45-f8d84f1d208e,Reward,2021-05-07T00:13:36Z,FORTH,0.02847786,1.00236371628,Coinbase,,,
ef51c83b-5ff2-5f18-871b-002b41f3b52c,Reward,2021-05-07T00:14:34Z,FORTH,0.02838732,1.00149045594,Coinbase,,,
f3db1fa9-7d85-5065-b103-dd3aa7af8bda,Converted from,2021-05-07T00:18:21Z,,,,,FORTH,0.08538609,3.02821768185
f0a8ba26-7f18-5109-83cf-91cf91b15510,Converted to,2021-05-07T00:18:23Z,ADA,1.755917,3.02821768185,Coinbase,,,
550a3434-142e-5f36-b5aa-e95b37d19d97,Sell,2021-05-08T15:16:01Z,,,,,ADA,1.755917,1.8300000000000000393419
f96b6936-b412-5c71-a142-f23e05c2b990,Buy,2021-05-11T06:50:11Z,ADA,4.785726,9,Coinbase,,,
25d0c387-e12d-5ff6-ba7e-f44e2a129357,Buy,2021-05-11T07:04:20Z,ETH,0.00464985,20,Coinbase,,,
23e2be0a-ccd8-531e-b64c-cee1da38c269,Buy,2021-05-12T23:18:59Z,ADA,57.856248,100,Coinbase,,,
7f44981c-f02d-51fa-b980-1a21ca7d55f6,Buy,2021-05-12T23:24:03Z,ETH,0.03562739,150,Coinbase,,,
767109e7-650b-5248-b392-f2cd7148ea59,Buy,2021-05-13T00:50:14Z,BTC,0.00444899,229,Coinbase,,,
c6074d14-62ee-5c94-9fa8-36c45c5c3454,Buy,2021-05-14T14:30:08Z,RLC,1.863940022,21,Coinbase,,,
4d02941d-c59a-5408-b9c1-2e81b91676bd,Send,2021-05-15T02:56:19Z,,,,,BTC,0.0008151,41.95511790316453846824156
7de33c06-8eb0-5a0d-a328-be4993b466aa,Sell,2021-05-17T16:27:30Z,,,,,ETH,0.04027724,129.039999999999999998194476
f29f1cec-c889-58f0-a60e-72d4f60702ba,Sell,2021-05-17T16:28:33Z,,,,,RLC,1.863940022,12.5200000000000000154774702
396da700-66d6-5d2b-a689-780d9dbebb82,Reward,2021-05-17T20:07:03Z,SKL,1.95198126,1.001463985443,Coinbase,,,
88a970ea-c1b7-59dc-b331-f64ef2bb216e,Reward,2021-05-17T20:10:43Z,SKL,1.950078,1.0007800296,Coinbase,,,
ab07debf-ca8b-5270-bcf7-696114bb70b6,Reward,2021-05-17T20:12:03Z,SKL,1.9462826,1.00058388466,Coinbase,,,
6381a53e-30d3-5463-a5d1-682669674c9e,Converted from,2021-05-17T20:32:38Z,,,,,SKL,5.84834186,3.017451982667
ee211fe6-fe8c-5ca0-a6eb-cf6d32b63342,Converted to,2021-05-17T20:32:39Z,ADA,1.40397,3.017451982667,Coinbase,,,
2119267f-85e3-58c9-8cd9-2a7e38e964f9,Buy,2021-05-18T08:10:51Z,MATIC,44.20155838,100,Coinbase,,,
8a06c5e6-55c2-53d7-8b40-36ee7c20d883,Buy,2021-05-18T08:11:44Z,NU,81.81028666,40,Coinbase,,,
78d5086a-432d-508c-bad4-2b234f3ad9fb,Sell,2021-05-18T22:56:03Z,,,,,NU,81.81028666,30.480000000000004023696004
a35328ca-6cd3-5f78-8119-eb7d1d165937,Sell,2021-05-19T12:34:58Z,,,,,MATIC,44.20155838,84.519999999999998809667348
d0075344-32df-56f6-88f4-439841323bf8,Sell,2021-05-19T12:35:41Z,,,,,BTC,0.00363389,133.819999999999999999850498
ff266be8-4155-5f1f-867d-1c35e425c6b3,Sell,2021-05-19T12:45:11Z,,,,,ADA,64.045944,80.2800000000000025182
d3f02ae9-8f21-5da6-9432-a18f127cd164,Receive,2021-05-22T23:47:27Z,BTC,0.00066746,0,Not available,,,
07407588-b405-58b0-8788-b1c484bec3d7,Sell,2021-05-22T23:53:28Z,,,,,BTC,0.00066746,23.45000000000000000000559
6a98f4e7-196b-560a-9579-66132441a716,Reward,2021-06-01T20:50:14Z,MATIC,0.55294443,1.0005805933065,Coinbase,,,
cd5360d3-26ab-5a4e-9bd9-6f27f47f96e7,Reward,2021-06-01T20:51:20Z,MATIC,0.55417013,0.999833748546,Coinbase,,,
9479a2c9-cb4f-5e46-bd84-4dc4b87893a0,Reward,2021-06-01T20:52:25Z,MATIC,0.55417013,1.001884178027,Coinbase,,,
3fbf2534-b3b4-5127-96a8-96a2d3875d66,Reward,2021-06-12T14:13:59Z,AMP,15.8755358,1.003492617918,Coinbase,,,
c19e6e8a-be5f-57eb-a690-ff444086b703,Reward,2021-06-12T14:15:05Z,AMP,15.9083678,1.00381800818,Coinbase,,,
dd87335a-52f0-5564-b0c9-55a202d3e1d9,Reward,2021-06-12T14:15:39Z,AMP,15.70351759,0.9990577890758,Coinbase,,,
169d1d73-287a-557e-8711-8f9733e889ea,Converted from,2021-06-15T16:25:21Z,,,,,MATIC,1.66128469,2.7591446773865
e881cb1b-aa76-542c-9a76-9839af3d7c43,Converted to,2021-06-15T16:25:21Z,AMP,30.18953299,2.7591446773865,Coinbase,,,
d3e825c7-ab5a-5b1d-ab21-6d5579289d61,Buy,2021-06-15T18:51:37Z,AMP,1605.16412779,150,Coinbase,,,
c8868350-5c02-5ade-9054-3996bbd9ae38,Converted from,2021-06-18T18:42:55Z,,,,,AMP,1682.84108197,136.814979964161
a3ae44e6-93f4-5697-a8ea-ec67cc315dd1,Converted to,2021-06-18T18:42:56Z,BTC,0.00377443,136.814979964161,Coinbase,,,
bd327230-3d24-5d2e-b41c-2da32d574ed5,Send,2021-06-21T15:36:29Z,,,,,BTC,0.00377443,136.814979964161000000017893
c8e73b37-aee1-574f-b468-85861b164f03,Reward,2021-10-07T23:58:35Z,FET,1.39821029,1.0009088360965,Coinbase,,,
5c9b1d83-c80f-5c97-b50f-5aaa9e1c8a7a,Reward,2021-10-08T00:00:15Z,FET,1.40508641,1.004074748586,Coinbase,,,
a5012943-4894-5a09-a639-ffcb8812ebe2,Reward,2021-10-08T00:01:38Z,FET,1.4015417,0.99915907793,Coinbase,,,
cffa10fa-0728-50c9-aa9d-cbbd608aac2c,Reward,2021-10-08T00:03:41Z,GRT,1.39236981,1.0006265639565,Coinbase,,,
8e77d43b-38cb-5be9-ac56-d081590a06a2,Reward,2021-10-08T00:05:48Z,CLV,0.81967213,1.0040983592500001,Coinbase,,,
f3feb2f4-c983-5bb4-b6ac-b5ddabb7f611,Reward,2021-10-08T00:07:07Z,CLV,0.81967213,0.9959016379500001,Coinbase,,,
1bc38c33-216a-59bf-a465-cb473910f440,Reward,2021-10-08T00:08:41Z,CLV,0.83333333,1.00416666265,Coinbase,,,
2d8e7b80-672b-5f7e-9ce1-5ae10f84c771,Buy,2021-10-11T16:29:52Z,BTC,0.00375225,220,Coinbase,,,
2208d098-fc25-56a0-a5e5-07ac51d06c00,Converted from,2021-10-11T16:31:19Z,,,,,FET,4.2048384,3.17002766976
53d8d0bc-2322-55ef-af2e-3e6450fb0b9d,Converted to,2021-10-11T16:31:21Z,BTC,0.00005389,3.17002766976,Coinbase,,,
4c4bf33f-a743-5f36-9137-a161e2f11e6d,Converted from,2021-10-11T16:32:00Z,,,,,CLV,2.47267759,2.95484972005
bc6fa0c1-08f5-5b8c-97a5-33aed2d07729,Converted to,2021-10-11T16:32:01Z,BTC,0.00005026,2.95484972005,Coinbase,,,
f8ca2011-186a-57a9-9f7c-265931258342,Buy,2021-10-13T19:26:50Z,BTC,0.0052326,312,Coinbase,,,
7461205e-253d-5c13-9633-dd39ed60a75f,Send,2021-10-13T19:41:00Z,,,,,BTC,0.00877536,519.735697564371929509074775
1a90caf8-c988-5f68-8a00-a63c24b011ef,Buy,2021-10-15T12:43:04Z,BTC,0.00003548,3.11,Coinbase,,,
6517108f-22a4-536c-8e8d-70e2c6dd3ab8,Converted from,2021-10-16T16:30:07Z,,,,,GRT,1.39236981,1.1184210498825
faef7cac-e496-5b57-8650-f7268e95ed45,Converted to,2021-10-16T16:30:08Z,BTC,0.00001805,1.1184210498825,Coinbase,,,
ae9f12e2-7b73-5da8-b163-33cd29e8c1be,Converted from,2021-10-22T00:42:51Z,,,,,BTC,0.00036717,23.06198625285
e8b6a139-bcf8-5208-9b9f-aac719f334d2,Converted to,2021-10-22T00:42:52Z,AUCTION,0.38575645,23.06198625285,Coinbase,,,
6da47cd5-b1d0-5f2f-a49b-aa2bdfc49d61,Reward,2021-10-22T02:58:53Z,AUCTION,0.01725626,1.0014670491,Coinbase,,,
62280faf-b02b-53a7-8cb7-b223f00a3fa8,Reward,2021-10-22T03:00:45Z,AUCTION,0.01700391,0.99872465385,Coinbase,,,
800f969a-02fd-51fc-8491-c891c51c6c09,Reward,2021-10-22T03:02:14Z,AUCTION,0.01708526,1.0019650727,Coinbase,,,
e565d700-73c8-5e30-b33e-627bc9fef7a8,Converted from,2021-10-28T23:31:55Z,,,,,AUCTION,0.43710188,15.713812586
783dfca7-9c7e-564d-a17d-3a52f8f650cf,Converted to,2021-10-28T23:31:56Z,SHIB,228635.15537243,15.713812586,Coinbase,,,
f863808a-eb58-526f-bc94-47ab788e90ee,Converted from,2021-10-31T13:04:00Z,,,,,SHIB,228635.15537243,14.3239924840827395
259daa80-1ce1-513f-bee6-969b5a6048ae,Converted to,2021-10-31T13:04:01Z,MANA,4.29475998,14.3239924840827395,Coinbase,,,
c5b85f8b-3910-5d1b-97a9-82253b18dea0,Sell,2021-11-07T13:49:44Z,,,,,MANA,4.29475998,10.81999999999999998553251
a74da6c0-972d-55e7-bfb6-4e7a39a64257,Buy,2021-11-24T01:51:52Z,ETH,0.04310202,190,Coinbase,,,
b2a0db13-1064-5ab2-aa58-b29e3895d5cf,Send,2021-12-01T23:36:14Z,,,,,ETH,0.04149038,182.895655470439668489339828
f491efd7-f09d-50a2-a0f6-e12759f232df,Sell,2021-12-20T15:36:06Z,,,,,ETH,0.00161164,5.140000000000000000037
